Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 03:57:55 PM,16.54,8,132.32,
16/03/2016 03:57:54 PM,16.54,19,314.26,
16/03/2016 03:57:54 PM,16.54,360,5954.40,
16/03/2016 03:57:54 PM,16.54,22,363.88,
16/03/2016 03:57:47 PM,16.55,142,2350.10,
16/03/2016 03:57:47 PM,16.55,4193,69394.15,
16/03/2016 03:57:46 PM,16.55,16,264.72,NXXT
16/03/2016 03:57:44 PM,16.54,3,49.62,
16/03/2016 03:57:43 PM,16.54,31,512.74,
16/03/2016 03:57:43 PM,16.54,38,628.52,
16/03/2016 03:57:42 PM,16.54,1,16.54,
16/03/2016 03:57:40 PM,16.54,7,115.78,
16/03/2016 03:57:34 PM,16.54,88,1455.52,
16/03/2016 03:57:34 PM,16.55,221,3657.55,
16/03/2016 03:57:33 PM,16.55,4163,68897.65,
16/03/2016 03:57:29 PM,16.55,260,4303.00,
16/03/2016 03:57:29 PM,16.55,68,1125.40,
16/03/2016 03:57:26 PM,16.56,84,1391.04,
16/03/2016 03:57:26 PM,16.55,57,943.35,
16/03/2016 03:57:26 PM,16.55,170,2813.50,XT
16/03/2016 03:57:25 PM,16.55,129,2134.95,
16/03/2016 03:57:25 PM,16.55,37,612.35,
16/03/2016 03:57:25 PM,16.55,4,66.20,
16/03/2016 03:57:25 PM,16.56,99,1639.44,
16/03/2016 03:57:25 PM,16.56,7,115.92,
16/03/2016 03:57:25 PM,.00,0,.00,
16/03/2016 03:57:25 PM,.00,0,.00,
16/03/2016 03:57:25 PM,16.56,1,16.56,
16/03/2016 03:57:25 PM,.00,0,.00,
16/03/2016 03:57:25 PM,.00,0,.00,
16/03/2016 03:57:25 PM,16.56,6,99.36,
16/03/2016 03:57:25 PM,16.55,187,3094.85,
16/03/2016 03:57:25 PM,16.55,260,4303.00,
16/03/2016 03:57:25 PM,16.55,50,827.50,
16/03/2016 03:57:25 PM,16.55,41,678.55,XT
16/03/2016 03:57:25 PM,16.55,230,3806.50,
16/03/2016 03:57:25 PM,16.55,154,2548.70,
16/03/2016 03:57:25 PM,16.55,389,6437.95,
16/03/2016 03:57:25 PM,16.55,382,6322.10,
16/03/2016 03:57:25 PM,16.55,3319,54929.45,
16/03/2016 03:57:25 PM,16.55,2744,45413.20,
16/03/2016 03:57:25 PM,16.55,797,13190.35,
16/03/2016 03:57:25 PM,16.55,184,3045.20,
16/03/2016 03:57:25 PM,16.55,96,1588.80,XT
16/03/2016 03:57:25 PM,16.55,672,11118.24,CXXT
16/03/2016 03:57:17 PM,16.55,112,1853.60,XT
16/03/2016 03:57:17 PM,16.54,164,2712.56,
16/03/2016 03:57:17 PM,16.55,100,1655.00,
16/03/2016 03:57:05 PM,16.55,176,2912.80,
16/03/2016 03:57:05 PM,16.55,47,777.85,
16/03/2016 03:57:05 PM,16.55,21,347.55,
16/03/2016 03:57:05 PM,16.55,239,3955.45,
16/03/2016 03:57:05 PM,16.55,26,430.30,
16/03/2016 03:57:05 PM,16.55,10,165.50,
16/03/2016 03:57:03 PM,.00,0,.00,
16/03/2016 03:57:03 PM,.00,0,.00,
16/03/2016 03:57:02 PM,16.55,700,11581.50,CXXT
16/03/2016 03:57:02 PM,16.55,12,198.60,
16/03/2016 03:57:02 PM,16.55,100,1655.00,
16/03/2016 03:56:57 PM,16.54,7,115.78,
16/03/2016 03:56:49 PM,16.54,5,82.70,
16/03/2016 03:56:44 PM,16.54,90,1488.60,
16/03/2016 03:56:41 PM,16.54,166,2745.64,
16/03/2016 03:56:41 PM,16.54,118,1951.72,
16/03/2016 03:56:41 PM,16.54,823,13612.42,
16/03/2016 03:56:41 PM,16.54,138,2282.52,
16/03/2016 03:56:41 PM,16.54,1,16.54,
16/03/2016 03:56:39 PM,16.53,3,49.59,
16/03/2016 03:56:39 PM,16.54,84,1389.36,
16/03/2016 03:56:39 PM,16.54,52,860.08,
16/03/2016 03:56:39 PM,16.54,3,49.62,XT
16/03/2016 03:56:38 PM,16.54,279,4614.66,
16/03/2016 03:56:38 PM,16.54,31,512.74,
16/03/2016 03:56:38 PM,16.55,456,7546.80,
16/03/2016 03:56:38 PM,16.55,212,3508.60,
16/03/2016 03:56:38 PM,16.55,100,1655.00,
16/03/2016 03:56:38 PM,16.55,1323,21895.65,
16/03/2016 03:56:38 PM,16.55,96,1588.80,
16/03/2016 03:56:38 PM,16.55,291,4816.05,XT
16/03/2016 03:56:38 PM,16.55,27,446.85,
16/03/2016 03:56:38 PM,16.55,2,33.10,
16/03/2016 03:56:37 PM,16.56,113,1871.28,
16/03/2016 03:56:31 PM,16.55,3,49.65,
16/03/2016 03:56:30 PM,16.56,113,1871.28,
16/03/2016 03:56:28 PM,16.56,94,1556.64,
16/03/2016 03:56:28 PM,16.56,24,397.32,CXXT
16/03/2016 03:56:27 PM,16.55,126,2085.30,
16/03/2016 03:56:25 PM,16.55,6,99.30,
16/03/2016 03:56:25 PM,16.55,2,33.10,
16/03/2016 03:56:24 PM,16.56,116,1920.96,
16/03/2016 03:56:23 PM,16.55,1,16.55,
16/03/2016 03:56:22 PM,16.55,20,331.00,
16/03/2016 03:56:21 PM,16.55,6,99.30,
16/03/2016 03:56:21 PM,16.55,1011,16732.05,
16/03/2016 03:56:21 PM,16.55,387,6404.85,
16/03/2016 03:56:21 PM,16.56,20000,331100.00,NXXT
16/03/2016 03:56:19 PM,16.55,6,99.30,
16/03/2016 03:56:18 PM,16.55,2,33.10,
16/03/2016 03:56:18 PM,16.56,113,1871.28,
16/03/2016 03:56:17 PM,16.55,1,16.55,
16/03/2016 03:56:14 PM,16.56,23,380.77,NXXT
16/03/2016 03:56:14 PM,16.56,19,314.55,NXXT
16/03/2016 03:56:14 PM,16.56,45,744.98,NXXT
16/03/2016 03:56:12 PM,16.56,110,1821.60,
16/03/2016 03:56:11 PM,16.56,589,9753.84,
16/03/2016 03:56:11 PM,16.56,589,9750.90,CXXT
16/03/2016 03:56:11 PM,16.56,2,33.12,
16/03/2016 03:56:11 PM,16.56,7,115.92,
16/03/2016 03:56:10 PM,16.56,101,1672.06,CXXT
16/03/2016 03:56:07 PM,16.56,21,347.76,
16/03/2016 03:56:07 PM,16.56,21,347.76,
16/03/2016 03:56:07 PM,16.56,76,1258.56,
16/03/2016 03:56:07 PM,16.56,33,546.48,
16/03/2016 03:56:07 PM,16.56,18,298.08,
16/03/2016 03:56:07 PM,16.56,1,16.56,
16/03/2016 03:56:07 PM,16.56,2,33.12,
16/03/2016 03:56:07 PM,16.56,800,13248.00,
16/03/2016 03:56:07 PM,16.56,302,5001.12,
16/03/2016 03:56:06 PM,16.56,252,4173.12,
16/03/2016 03:56:06 PM,16.56,236,3908.16,
16/03/2016 03:56:06 PM,16.56,673,11144.88,
16/03/2016 03:56:06 PM,16.55,50,827.50,
16/03/2016 03:56:06 PM,16.55,3,49.65,
16/03/2016 03:56:06 PM,16.55,1,16.55,
16/03/2016 03:56:06 PM,16.55,178,2945.90,
16/03/2016 03:56:06 PM,16.55,18,297.90,
16/03/2016 03:56:06 PM,16.55,84,1390.20,
16/03/2016 03:56:06 PM,16.55,2,33.10,
16/03/2016 03:56:06 PM,16.55,34,562.70,
16/03/2016 03:56:06 PM,16.55,165,2730.75,
16/03/2016 03:56:06 PM,16.55,108,1787.40,
16/03/2016 03:56:06 PM,16.55,50,827.50,
16/03/2016 03:56:06 PM,16.55,42,695.10,
16/03/2016 03:56:06 PM,16.55,36,595.80,
16/03/2016 03:56:06 PM,16.55,179,2962.45,
16/03/2016 03:56:06 PM,16.55,1213,20075.15,
16/03/2016 03:56:05 PM,16.55,113,1870.15,
16/03/2016 03:56:03 PM,16.54,11,181.94,
16/03/2016 03:55:57 PM,16.55,112,1853.60,
16/03/2016 03:55:57 PM,16.55,152,2515.60,
16/03/2016 03:55:57 PM,16.55,965,15965.93,CXXT
16/03/2016 03:55:54 PM,16.55,124,2051.58,NXXT
16/03/2016 03:55:53 PM,16.55,326,5393.67,NXXT
16/03/2016 03:55:52 PM,16.55,145,2399.03,NXXT
16/03/2016 03:55:51 PM,16.54,159,2629.86,
16/03/2016 03:55:51 PM,16.54,5,82.70,
16/03/2016 03:55:51 PM,16.54,260,4300.40,
16/03/2016 03:55:50 PM,16.54,213,3523.02,
16/03/2016 03:55:50 PM,16.54,675,11164.50,
16/03/2016 03:55:50 PM,16.54,260,4300.40,
16/03/2016 03:55:50 PM,16.54,366,6053.64,
16/03/2016 03:55:50 PM,.00,0,.00,
16/03/2016 03:55:50 PM,16.54,13,215.02,
16/03/2016 03:55:50 PM,16.54,13,215.02,
16/03/2016 03:55:50 PM,16.54,61,1008.94,
16/03/2016 03:55:50 PM,16.54,21,347.34,
16/03/2016 03:55:50 PM,16.54,858,14191.32,
16/03/2016 03:55:50 PM,16.54,23,380.42,
16/03/2016 03:55:50 PM,16.54,37,611.98,
16/03/2016 03:55:50 PM,16.54,91,1505.14,
16/03/2016 03:55:50 PM,16.54,1514,25033.99,CXXT
16/03/2016 03:55:50 PM,16.54,38,628.52,
16/03/2016 03:55:50 PM,16.54,199,3291.46,
16/03/2016 03:55:50 PM,16.54,38,628.52,
16/03/2016 03:55:50 PM,16.54,158,2613.32,
16/03/2016 03:55:50 PM,.00,0,.00,
16/03/2016 03:55:48 PM,.00,0,.00,
16/03/2016 03:55:48 PM,.00,0,.00,
16/03/2016 03:55:48 PM,16.54,112,1852.48,
