Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
29028687,2019.08.26 12:29:14,buy,0.01,nzdusd,0.63808,0,0,2019.08.28 02:57:14,0.6359,0,0,0,-3.24
29040688,2019.08.27 00:34:25,balance,Interest 1 day AUD/USD 1.4685,0.02,,,,,,,,,
29044197,2019.08.27 01:06:38,balance,Interest 1 day NZD/USD 1.4833,-0.12,,,,,,,,,
29071682,2019.08.28 01:56:45,balance,Interest 1 day AUD/USD 1.4738,0.02,,,,,,,,,
29075992,2019.08.28 02:36:48,balance,Interest 1 day NZD/USD 1.4886,-0.12,,,,,,,,,
29079055,2019.08.28 06:11:40,sell,0.01,nzdusd,0.63326,0,0,2019.08.28 06:11:43,0.63343,0,0,0,-0.25
29079060,2019.08.28 06:12:43,sell,0.01,nzdusd,0.63315,0,0,2019.08.28 06:27:47,0.6334,0,0,0,-0.37
29079279,2019.08.28 06:33:12,buy,0.01,nzdusd,0.63352,0,0,2019.08.28 10:01:48,0.63416,0,0,0,0.95
29085082,2019.08.28 10:17:02,buy,0.01,nzdusd,0.63418,0,0,2019.08.28 13:06:50,0.63488,0,0,0,1.03
29088896,2019.08.28 13:14:23,sell,0.01,nzdusd,0.63478,0,0,2019.08.28 13:14:23,0.63496,0,0,0,-0.27
29088903,2019.08.28 13:14:59,sell,0.01,nzdusd,0.63478,0,0,2019.08.28 13:36:03,0.63481,0,0,0,-0.04
29089350,2019.08.28 13:37:47,buy,0.01,nzdusd,0.63483,0,0,2019.08.28 13:37:56,0.63463,0,0,0,-0.3
29089384,2019.08.28 13:39:50,sell,0.01,nzdusd,0.63458,0,0,2019.08.28 13:47:00,0.63485,0,0,0,-0.4
29109052,2019.08.29 04:41:36,sell,0.01,nzdusd,0.63112,0,0,2019.08.29 05:56:47,0.631,0,0,0,0.18
29135040,2019.08.30 02:40:00,buy,0.01,xauusd,1526.74,0,0,2019.08.30 03:10:25,1525.35,0,0,0,-2.08
29135367,2019.08.30 03:10:02,buy,0.01,ethusd,168.46,0,0,2019.08.30 03:20:04,166.51,0,0,0,-0.03
29135369,2019.08.30 03:10:39,sell,0.1,xauusd,1525.36,0,0,2019.08.30 03:17:08,1525.53,0,0,0,-2.54
29135425,2019.08.30 03:15:01,buy,0.01,eurusd,1.10497,0,0,2019.08.30 03:20:05,1.10488,0,0,0,-0.13
29135554,2019.08.30 03:30:04,buy,0.01,ethusd,168.12,0,0,2019.08.30 03:39:13,166.68,0,0,0,-0.02
29135574,2019.08.30 03:31:00,sell,0.01,eurusd,1.10488,0,0,2019.08.30 03:49:00,1.10457,0,0,0,0.46
29135684,2019.08.30 03:41:01,sell,0.01,ethusd,166.66,0,0,2019.08.30 03:46:17,168.21,0,0,0,-0.02
29135777,2019.08.30 03:50:00,sell,0.01,eurusd,1.10446,0,0,2019.08.30 03:51:00,1.10456,0,0,0,-0.15
29135791,2019.08.30 03:52:00,sell,0.01,eurusd,1.10444,0,0,2019.08.30 04:07:57,1.10464,0,0,0,-0.3
29135817,2019.08.30 03:55:08,sell,0.01,ethusd,166.73,0,0,2019.08.30 03:57:03,168.07,0,0,0,-0.02
29135845,2019.08.30 03:58:18,sell,0.01,ethusd,166.55,0,0,2019.08.30 03:58:53,167.97,0,0,0,-0.02
29135851,2019.08.30 03:59:12,buy,0.01,aus200,6601.5,0,0,2019.08.30 04:08:56,6601.5,0,0,0,0
29135974,2019.08.30 04:10:00,sell,0.01,eurusd,1.10443,0,0,2019.08.30 04:24:01,1.10456,0,0,0,-0.19
29136040,2019.08.30 04:20:49,sell,0.01,aus200,6601.5,0,0,2019.08.30 05:48:08,6611.5,0,0,0,-2.5
29136059,2019.08.30 04:27:00,sell,0.01,eurusd,1.10443,0,0,2019.08.30 04:49:04,1.10438,0,0,0,0.07
29136216,2019.08.30 04:57:02,sell,0.01,eurusd,1.10433,0,0,2019.08.30 04:58:00,1.10445,0,0,0,-0.18
29136293,2019.08.30 05:06:19,sell,0.01,eurusd,1.10443,0,0,2019.08.30 05:07:03,1.1045,0,0,0,-0.1
29136299,2019.08.30 05:08:05,sell,0.01,eurusd,1.10442,0,0,2019.08.30 05:09:01,1.1045,0,0,0,-0.12
29136304,2019.08.30 05:10:01,buy,0.01,eurusd,1.1045,0,0,2019.08.30 05:13:00,1.10442,0,0,0,-0.12
29136336,2019.08.30 05:15:00,buy,0.01,eurusd,1.10451,0,0,2019.08.30 05:29:03,1.10446,0,0,0,-0.07
29136435,2019.08.30 05:32:00,buy,0.01,eurusd,1.10454,0,0,2019.08.30 06:08:43,1.10463,0,0,0,0.13
29136619,2019.08.30 06:05:22,sell,0.1,aus200,6602.5,0,0,2019.08.30 06:05:25,6603.5,0,0,0,-2.5
29136639,2019.08.30 06:07:44,sell,0.01,aus200,6605.5,0,0,2019.08.30 06:07:49,6606.5,0,0,0,-0.25
29136667,2019.08.30 06:11:33,sell,0.01,aus200,6603.5,0,0,2019.08.30 06:11:34,6604.5,0,0,0,-0.25
29136676,2019.08.30 06:13:33,buy,0.01,eurusd,1.10474,0,0,2019.08.30 08:18:59,1.10338,0,0,0,-2.03
29139112,2019.08.30 08:19:06,sell,0.01,eurusd,1.10342,0,0,2019.08.30 15:02:57,1.10484,0,0,0,-2.11
29146449,2019.08.30 15:04:39,sell,0.01,eurusd,1.10461,0,0,2019.08.30 16:09:42,1.09981,0,0,0,7.11
29149068,2019.08.30 16:10:14,sell,0.01,eurusd,1.09968,0,0,2019.08.30 16:18:35,1.09968,0,0,0,0
29149786,2019.08.30 16:27:12,sell,0.01,eurusd,1.09984,0,0,2019.08.30 16:59:56,1.09892,0,0,0,1.36
29151181,2019.08.30 17:06:45,sell,0.01,eurusd,1.09898,0,0,2019.08.30 17:23:13,1.09873,0,0,0,0.37
29151428,2019.08.30 17:26:03,sell,0.01,eurusd,1.0987,0,0,2019.08.30 18:10:27,1.09806,0,0,0,0.95
29152338,2019.08.30 18:27:27,sell,0.01,eurusd,1.09733,1.09779,0.09673,2019.08.30 19:37:25,1.09779,0,0,0,-0.69
29158170,2019.09.02 01:25:31,buy,0.01,eurusd,1.09899,1.09856,0,2019.09.02 07:46:37,1.09856,0,0,0,-0.64
29172356,2019.09.02 11:31:48,sell,0.01,eurusd,1.09664,1.09409,0,2019.09.03 04:48:32,1.09409,0,0,0,3.8
29186118,2019.09.03 01:23:33,balance,Interest 1 day EUR/USD 1.4804,0.07,,,,,,,,,
29192339,2019.09.03 05:37:13,sell,0.01,eurusd,1.0939,1.09466,0,2019.09.03 06:51:38,1.09466,0,0,0,-1.14
29198963,2019.09.03 08:20:53,sell,0.01,eurusd,1.09434,1.09454,0,2019.09.03 08:29:07,1.09391,0,0,0,0.64
29199549,2019.09.03 09:50:47,sell,0.01,eurusd,1.09489,0,0,2019.09.03 11:08:45,1.09401,0,0,0,1.31
29199646,2019.09.03 11:32:32,sell,0.01,eurusd,1.093,1.09375,0,2019.09.03 11:50:24,1.09375,0,0,0,-1.12
29205974,2019.09.03 11:21:17,sell,0.01,eurusd,1.09419,1.09513,0,2019.09.03 11:25:09,1.09391,0,0,0,0.42
29207072,2019.09.03 11:54:15,sell,0.01,eurusd,1.09339,0,0,2019.09.03 12:46:41,1.09303,0,0,0,0.53
29208733,2019.09.03 12:59:53,sell,0.01,eurusd,1.09362,1.09587,0,2019.09.03 15:00:01,1.0961,0,0,0,-3.69
29213177,2019.09.03 15:01:40,buy,0.01,eurusd,1.09691,1.09578,0,2019.09.03 16:29:26,1.09656,0,0,0,-0.52
29214084,2019.09.03 15:11:47,sell,0.01,eurusd,1.0968,0,0,2019.09.03 16:05:15,1.09639,0,0,0,0.61
29225442,2019.09.03 23:58:32,sell,0.01,audusd,0.67606,0.677,0,2019.09.04 01:13:11,0.677,0,0,0,-1.39
29426494,2019.09.11 03:36:03,sell,0.01,audusd,0.68574,0.6872,0,2019.09.11 05:04:06,0.6872,0,0,0,-2.13
29427675,2019.09.11 05:37:25,buy,0.01,audusd,0.68745,0.68771,0,2019.09.12 11:28:16,0.68771,0,0,0,0.38
29452758,2019.09.12 02:24:19,balance,Interest 3 day AUD/USD 1.4640,-0.13,,,,,,,,,
29647175,2019.09.20 09:47:20,buy,0.01,audusd,0.67934,0.67996,0,2019.09.24 15:21:31,0.67996,0,0,0,0.91
29663413,2019.09.23 02:22:00,balance,Interest 1 day AUD/USD 1.4830,-0.07,,,,,,,,,
29694762,2019.09.24 03:18:11,balance,Interest 1 day AUD/USD 1.4832,-0.06,,,,,,,,,
29713223,2019.09.24 15:31:09,buy,0.01,audusd,0.67974,0.67914,0,2019.09.24 15:59:48,0.67914,0,0,0,-0.89
30384913,2019.10.22 23:08:59,sell,0.01,audusd,0.68541,0.68483,0.68093,2019.10.23 06:35:42,0.68483,0,0,0,0.84
30395487,2019.10.23 06:49:26,sell,0.01,audusd,0.68435,0.6845,0,2019.10.23 12:45:46,0.6845,0,0,0,-0.22
30429202,2019.10.24 03:55:06,buy,0.01,audusd,0.68509,0.68419,0,2019.10.24 06:00:35,0.68419,0,0,0,-1.32
30433773,2019.10.24 08:46:33,sell,0.01,audusd,0.68388,0.68324,0,2019.10.24 10:03:35,0.68324,0,0,0,0.93
30437129,2019.10.24 10:37:58,sell,0.01,audusd,0.68257,0.68172,0,2019.10.25 01:41:57,0.68172,0,0,0,1.24
30482607,2019.10.25 02:05:05,sell,0.01,audusd,0.68191,0.68181,0,2019.10.25 04:56:52,0.68181,0,0,0,0.15
30485234,2019.10.25 05:17:15,buy limit,0.01,audusd,0.68098,0.68041,0,2019.10.25 05:19:53,0.68179,cancelled,,,
30485238,2019.10.25 05:19:25,buy,0.01,audusd,0.6818,0.68249,0.68864,2019.10.25 08:10:17,0.68289,0,0,0,1.59
30487591,2019.10.25 08:16:42,buy limit,0.01,audusd,0.6808,0.68,0,2019.10.28 04:25:13,0.68149,cancelled,,,
30514201,2019.10.28 04:25:06,buy,0.01,audusd,0.6815,0.68248,0,2019.10.28 09:29:46,0.6828,0,0,0,1.9
30519572,2019.10.28 10:32:13,buy limit,0.01,audusd,0.6809,0.68037,0,2019.10.28 12:24:14,0.68292,cancelled,,,
30521818,2019.10.28 12:23:40,buy,0.01,audusd,0.68295,0.68237,0,2019.10.28 12:53:18,0.68237,0,0,0,-0.85
30522736,2019.10.28 13:00:16,buy,0.01,audusd,0.68253,0.68463,0,2019.10.29 02:32:28,0.68463,0,0,0,3.06
30539024,2019.10.29 00:31:15,balance,Interest 1 day AUD/USD 1.4698,-0.06,,,,,,,,,
30545502,2019.10.29 02:58:03,sell,0.01,audusd,0.68477,0.68517,0,2019.10.29 03:30:47,0.68481,0,0,0,-0.06
30545718,2019.10.29 03:33:47,sell limit,0.01,audusd,0.6882,0.6889,0,2019.10.29 03:43:15,0.68487,cancelled,,,
30545745,2019.10.29 03:42:06,sell,0.01,audusd,0.68487,0.68564,0,2019.10.29 04:08:22,0.68482,0,0,0,0.07
30545924,2019.10.29 04:12:39,buy,0.01,audusd,0.68478,0.68515,0,2019.10.29 07:30:35,0.68564,0,0,0,1.25
30549542,2019.10.29 08:36:55,buy,0.01,audusd,0.68498,0.68553,0,2019.10.29 12:57:46,0.68573,0,0,0,1.09
30557266,2019.10.29 13:33:18,buy,0.01,audusd,0.68563,0.68495,0,2019.10.29 14:28:35,0.68554,0,0,0,-0.13
30559138,2019.10.29 14:33:59,sell,0.01,audusd,0.68579,0.68637,0.684,2019.10.30 00:31:29,0.68637,0,0,0,-0.85
30580913,2019.10.30 12:20:49,buy,0.01,audusd,0.6863,0.68538,0,2019.10.30 14:39:14,0.68608,0,0,0,-0.32
30614279,2019.10.31 12:00:57,buy limit,0.01,audusd,0.68065,0.68,0,2019.10.31 23:11:52,0.68916,cancelled,,,
30628264,2019.10.31 23:11:12,buy,0.01,audusd,0.68921,0.68952,0,2019.11.01 01:39:23,0.68995,0,0,0,1.07
