,index,open,high,low,close,volume,adjusted,created_date,last_updated,pandas_SMA_200,signal,365-Day-High,365-Day-Low
591,2017-06-26,19.46,19.47,19.46,19.46,116964,16.9497,2020-03-07 15:05:17,2020-03-07 15:05:17,19.108702000000005,0.35129799999999634,20.3485,17.5212
592,2017-06-27,19.42,19.42,19.42,19.42,123,16.9148,2020-03-07 15:05:17,2020-03-07 15:05:17,19.114848000000006,0.3051519999999961,20.3485,17.5212
593,2017-06-28,19.5734,19.5734,19.5734,19.5734,0,17.0484,2020-03-07 15:05:17,2020-03-07 15:05:17,19.121665000000004,0.4517349999999958,20.3485,17.5212
594,2017-06-29,19.46,19.52,19.46,19.52,15492,17.2341,2020-03-07 15:05:17,2020-03-07 15:05:17,19.128734500000004,0.3912654999999958,20.3485,17.5212
595,2017-06-30,19.29,19.29,19.29,19.29,48,17.031,2020-03-07 15:05:17,2020-03-07 15:05:17,19.135434000000004,0.15456599999999554,20.3485,17.5212
596,2017-07-03,19.1236,19.1236,19.1236,19.1236,0,16.8841,2020-03-07 15:05:17,2020-03-07 15:05:17,19.142952000000005,-0.01935200000000492,20.3485,17.5212
597,2017-07-04,19.5,19.5,19.5,19.5,9,17.2164,2020-03-07 15:05:17,2020-03-07 15:05:17,19.152352000000004,0.34764799999999596,20.3485,17.5212
598,2017-07-05,19.3978,19.3978,19.3978,19.3978,0,17.1262,2020-03-07 15:05:17,2020-03-07 15:05:17,19.161541000000007,0.23625899999999334,20.3485,17.5212
599,2017-07-06,19.3774,19.3774,19.3774,19.3774,0,17.1082,2020-03-07 15:05:17,2020-03-07 15:05:17,19.170246000000006,0.20715399999999562,20.3485,17.5212
600,2017-07-07,19.1989,19.1989,19.1989,19.1989,0,16.9506,2020-03-07 15:05:17,2020-03-07 15:05:17,19.176890500000006,0.022009499999992244,20.3485,17.5212
601,2017-07-10,19.28,19.28,19.28,19.28,57,17.0222,2020-03-07 15:05:17,2020-03-07 15:05:17,19.18414050000001,0.09585949999999244,20.3485,17.5212
602,2017-07-11,19.28,19.28,19.28,19.28,58,17.0222,2020-03-07 15:05:17,2020-03-07 15:05:17,19.19122550000001,0.08877449999999243,20.3485,17.5212
