Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
TGR,Tassal Group Limited,Consumer Staples,"874,405,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"45,789,200,000",2.32,,,
TNE,Technology One,Information Technology,"2,498,980,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,975,110,000",0.3,,,
TWE,Treasury Wine Estate,Consumer Staples,"10,729,000,000",0.54,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"3,294,160,000",0.17,,,
VCX,Vicinity Centres,Real Estate,"9,240,990,000",0.47,,,
VEA,Viva Energy Group,Energy,"4,102,970,000",0.21,,,
VLW,Villa World Limited,Real Estate,"276,603,000",0.01,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,034,800,000",0.1,,,
VRL,Village Roadshow Limited,Consumer Discretionary,"547,689,000",0.03,,,
VRT,Virtus Health Limited,Health Care,"361,755,000",0.02,,,
VVR,Viva Energy REIT,Real Estate,"2,016,760,000",0.1,,,
WBC,Westpac Banking Corp,Financials,"98,974,400,000",5.02,,,
WEB,Webjet Limited,Consumer Discretionary,"1,844,170,000",0.09,,,
WES,Wesfarmers Limited,Consumer Discretionary,"40,999,700,000",2.08,,,
WGN,Wagners HLD Company,Materials,"290,476,000",0.01,,,
WGX,Westgold Resources,Materials,"729,605,000",0.04,,,
WHC,Whitehaven Coal,Energy,"3,755,330,000",0.19,,,
WOR,Worleyparsons Limited,Energy,"7,634,570,000",0.39,,,
WOW,Woolworths Group Limited,Consumer Staples,"41,826,300,000",2.12,,,
WPL,Woodside Petroleum,Energy,"34,038,500,000",1.73,,,
WPP,WPP AUNZ Limited,Consumer Discretionary,"409,033,000",0.02,,,
WSA,Western Areas Limited,Materials,"537,518,000",0.03,,,
WTC,Wisetech Global Limited,Information Technology,"8,816,240,000",0.45,,,
XRO,Xero Limited,Information Technology,"8,458,580,000",0.43,,,
